"id,""vin"",""start_timestamp"",""start_battery_level"",""start_battery_range"",""end_timestamp"",""end_battery_level"",""end_battery_range"",""latitude"",""longitude"",""charge_amps"",""charge_status"",""updated_at"",""charge_address"""
"90,""LRW3F7FS8NC502951"",""2022-06-21 03:34:41"",57,154.89,""2022-06-21 04:00:48"",99,268.73,51.51094,-0.460408,16,True,NULL,NULL"
"91,""LRW3F7FA1MC335306"",""2022-06-21 03:53:53"",99,254.03,""2022-06-21 04:05:45"",100,256.07,51.749857,0.502245,10,True,NULL,NULL"
"92,""LRW3F7FS4NC505233"",""2022-06-21 04:08:06"",12,31.66,""2022-06-21 11:37:15"",69,185.72,51.902805,-0.443254,32,True,NULL,NULL"
"93,""LRW3F7FS9NC506815"",""2022-06-21 04:15:20"",77,206.07,""2022-06-21 07:31:21"",98,263.26,51.43053,-0.03429,16,True,NULL,NULL"
"94,""LRW3F7FS6NC505671"",""2022-06-21 04:24:02"",46,123.57,""2022-06-21 04:58:27"",100,268.95,51.478066,-0.516025,16,True,NULL,NULL"
"95,""LRW3F7FS9NC502876"",""2022-06-21 04:53:15"",43,113.52,""2022-06-21 05:14:25"",90,238.94,51.478077,-0.515757,16,True,NULL,NULL"
"96,""LRW3F7FS0NC503009"",""2022-06-21 05:02:50"",32,86.14,""2022-06-21 05:55:25"",100,270.31,51.871747,0.193344,16,True,NULL,NULL"
"97,""LRW3F7FSXNC505804"",""2022-06-21 05:10:59"",71,191.36,""2022-06-21 05:32:41"",100,268.34,51.529638,-0.015367,16,True,NULL,NULL"
"98,""LRW3F7FS7NC503167"",""2022-06-21 05:35:08"",26,69.99,""2022-06-21 06:21:50"",100,270.31,51.135205,-0.191339,16,True,NULL,NULL"
"99,""LRW3F7FA0MC335359"",""2022-06-21 05:50:10"",92,223.85,""2022-06-21 06:04:00"",95,230.89,51.363427,-0.13042,30,True,NULL,NULL"
"100,""LRW3F7FAXMC335384"",""2022-06-21 05:55:22"",9,23.52,""2022-06-21 06:19:51"",77,195.82,51.506672,-0.221947,16,True,NULL,NULL"
"101,""LRW3F7FS4NC504681"",""2022-06-21 06:19:55"",80,215.42,""2022-06-21 06:29:41"",99,266.41,51.871762,0.19334,16,True,NULL,NULL"
"102,""LRW3F7FA1MC335306"",""2022-06-21 07:08:57"",99,253.52,""2022-06-21 07:22:32"",100,256.07,51.749857,0.502245,10,True,NULL,NULL"
"103,""LRW3F7FS0NC505732"",""2022-06-21 07:20:01"",27,72.3,""2022-06-21 09:57:14"",58,157.35,51.544849,-0.230947,32,True,NULL,NULL"
"104,""LRW3F7FA3MC335338"",""2022-06-21 07:22:15"",18,45.15,""2022-06-21 07:27:53"",30,76.98,51.871783,0.193354,16,True,NULL,NULL"
"105,""LRW3F7FA5MC335387"",""2022-06-21 07:42:14"",46,116.03,""2022-06-21 11:44:52"",100,257.56,51.568633,-0.382633,32,True,NULL,NULL"
"106,""LRW3F7FS8NC505610"",""2022-06-21 07:48:24"",77,208.87,""2022-06-21 09:49:08"",100,270.31,51.653241,-0.395082,32,True,NULL,NULL"
"107,""LRW3F7FA3MC335338"",""2022-06-21 08:14:00"",10,25.47,""2022-06-21 08:45:06"",95,244.83,52.386413,0.664443,16,True,NULL,NULL"
"108,""LRW3F7FA1MC335306"",""2022-06-21 08:31:39"",97,249.43,""2022-06-21 09:10:39"",100,256.07,51.749871,0.502241,10,True,NULL,NULL"
"109,""LRW3F7FS4NC504681"",""2022-06-21 08:34:31"",79,213.32,""2022-06-21 08:35:59"",83,223.34,51.871765,0.193348,16,True,NULL,NULL"
"110,""LRW3F7FS2NC505411"",""2022-06-21 08:56:00"",68,184.83,""2022-06-21 11:42:24"",85,232.92,51.526786,-0.008612,16,True,NULL,NULL"
"111,""LRW3F7FS9NC502795"",""2022-06-21 09:02:35"",57,154.99,""2022-06-21 11:45:11"",67,180.51,51.623333,-0.388765,10,True,NULL,NULL"
"112,""LRW3F7FA3MC335310"",""2022-06-21 09:19:48"",70,158.59,""2022-06-21 10:04:20"",90,206.1,51.342261,0.57415,16,True,NULL,NULL"
"113,""LRW3F7FS9NC503008"",""2022-06-21 09:33:58"",33,89.31,""2022-06-21 10:43:19"",84,225.89,51.880518,-0.413865,16,True,NULL,NULL"
"114,""LRW3F7FS5NC503166"",""2022-06-21 09:45:18"",29,80.23,""2022-06-21 10:32:11"",100,272.56,51.438063,0.268754,16,True,NULL,NULL"
"115,""LRW3F7FS6NC505346"",""2022-06-21 09:45:29"",26,69.24,""2022-06-21 13:01:39"",86,232.84,51.496092,0.118126,16,True,NULL,NULL"
"116,""LRW3F7FS4NC504681"",""2022-06-21 09:58:52"",75,200.3,""2022-06-21 10:11:12"",98,263.4,51.577938,0.185174,16,True,NULL,NULL"
"117,""LRW3F7FS5NC505810"",""2022-06-21 10:25:03"",42,114.77,""2022-06-21 11:02:06"",100,270.76,51.510894,-0.460432,16,True,NULL,NULL"
"118,""LRW3F7FS8NC505803"",""2022-06-21 10:45:28"",56,146.9,""2022-06-21 11:13:15"",98,258.66,51.506468,-0.222228,16,True,NULL,NULL"
"119,""LRW3F7FS7NC503167"",""2022-06-21 10:54:56"",76,204.93,""2022-06-21 10:54:56"",76,204.93,51.506674,-0.222155,16,True,NULL,NULL"
"120,""LRW3F7FSXNC505804"",""2022-06-21 11:07:56"",14,37.57,""2022-06-21 11:50:38"",99,265.65,50.686279,-3.449877,16,True,NULL,NULL"
"121,""LRW3F7FS7NC503167"",""2022-06-21 11:12:59"",81,219.64,""2022-06-21 11:29:18"",100,269.86,51.506674,-0.222155,16,True,NULL,NULL"
"122,""LRW3F7FS2NC505408"",""2022-06-21 11:33:35"",22,60.59,""2022-06-21 11:42:24"",47,125.92,51.478173,-0.515914,16,True,NULL,NULL"
"123,""LRW3F7FA3MC335369"",""2022-06-21 11:42:34"",52,131.35,""2022-06-21 12:04:52"",99,254.01,52.386481,0.664726,16,True,NULL,NULL"
"124,""LRW3F7FA0MC335359"",""2022-06-21 11:44:07"",72,175.57,""2022-06-21 13:18:47"",94,230.84,51.363427,-0.130416,30,True,NULL,NULL"
"125,""LRW3F7FA0MC335359"",""2022-06-21 11:44:40"",72,175.57,""2022-06-21 13:18:47"",94,230.84,51.363427,-0.130416,30,True,NULL,NULL"
"126,""LRW3F7FS0NC505939"",""2022-06-21 12:24:47"",71,192.3,""2022-06-21 13:37:37"",94,253.73,51.639543,-0.310943,16,True,NULL,NULL"
"127,""LRW3F7FA3MC335338"",""2022-06-21 12:32:52"",42,109.39,""2022-06-21 13:04:13"",100,256.4,51.871758,0.193347,16,True,NULL,NULL"
"128,""LRW3F7FJ6MC387496"",""2022-06-21 12:50:15"",100,267.11,""2022-06-21 12:58:18"",100,268.05,51.51378,-0.415596,31,True,NULL,NULL"
"129,""LRW3F7FAXMC335384"",""2022-06-21 12:55:40"",57,146.22,""2022-06-21 13:46:27"",68,172.3,51.368583,-0.197704,30,True,NULL,NULL"
"130,""LRW3F7FS4NC505233"",""2022-06-21 12:56:08"",63,170.12,""2022-06-21 15:20:41"",91,245.73,51.902809,-0.443253,32,True,NULL,NULL"
"131,""LRW3F7FSXNC502868"",""2022-06-21 13:37:46"",49,132.25,""2022-06-21 16:15:18"",100,267.96,51.523932,0.054244,16,True,NULL,NULL"
"132,""LRW3F7FA9MC335389"",""2022-06-21 14:02:19"",12,31.17,""2022-06-21 20:24:14"",100,256.59,51.371119,-0.039781,32,True,NULL,NULL"
"133,""LRW3F7FS6NC505606"",""2022-06-21 14:21:54"",98,263.22,""2022-06-21 14:35:02"",100,270.31,51.13399,0.228337,32,True,NULL,NULL"
"134,""LRW3F7FS5NC505810"",""2022-06-21 14:35:09"",49,132.51,""2022-06-21 15:06:45"",100,270.76,53.109098,-1.312193,16,True,NULL,NULL"
"135,""LRW3F7FA0MC335359"",""2022-06-21 14:40:11"",95,231.39,""2022-06-21 14:40:11"",95,231.39,51.363427,-0.130416,30,True,NULL,NULL"
"136,""LRW3F7FA8MC335352"",""2022-06-21 14:45:45"",89,226.1,""2022-06-21 14:54:45"",99,250.6,51.506642,-0.221908,16,True,NULL,NULL"
"137,""LRW3F7FSXNC505804"",""2022-06-21 14:54:44"",86,232.84,""2022-06-21 15:09:35"",100,267.79,50.791251,-3.643192,16,True,NULL,NULL"
"138,""LRW3F7FS9NC505874"",""2022-06-21 14:54:47"",16,43.52,""2022-06-21 15:27:05"",88,237.43,51.526832,-0.28353,16,True,NULL,NULL"
"139,""LRW3F7FS0NC505732"",""2022-06-21 15:13:14"",20,53.4,""2022-06-21 15:51:08"",95,257.53,51.052467,0.454872,16,True,NULL,NULL"
"140,""LRW3F7FS7NC503167"",""2022-06-21 15:20:07"",87,233.79,""2022-06-21 16:39:20"",92,247.49,51.382899,-0.118414,10,True,NULL,NULL"
"141,""LRW3F7FS9NC503008"",""2022-06-21 15:31:43"",42,114.36,""2022-06-21 15:51:17"",58,157.84,51.888439,-0.456636,16,True,NULL,NULL"
"142,""LRW3F7FS9NC503008"",""2022-06-21 15:31:43"",42,114.36,""2022-06-21 15:51:17"",58,157.84,51.888439,-0.456636,16,True,NULL,NULL"
"143,""LRW3F7FS9NC503008"",""2022-06-21 15:32:11"",43,115.78,""2022-06-21 15:51:17"",58,157.84,51.888439,-0.456636,16,True,NULL,NULL"
"144,""LRW3F7FJ4MC387495"",""2022-06-21 15:47:10"",10,27.43,""2022-06-21 16:23:54"",94,248.75,51.478075,-0.515968,16,True,NULL,NULL"
"145,""LRW3F7FS9NC502795"",""2022-06-21 16:00:47"",33,89.31,""2022-06-22 03:20:48"",74,200.35,51.623325,-0.388732,10,True,NULL,NULL"
"146,""LRW3F7FS9NC503008"",""2022-06-21 16:08:18"",62,165.87,""2022-06-21 16:39:30"",83,224.47,51.888439,-0.456636,16,True,NULL,NULL"
"147,""LRW3F7FS8NC505476"",""2022-06-21 16:08:27"",53,143.57,""2022-06-21 16:45:03"",100,270.76,51.478128,-0.515606,16,True,NULL,NULL"
"148,""LRW3F7FA7MC335407"",""2022-06-21 16:44:38"",44,112.96,""2022-06-21 17:25:37"",97,246.87,51.422419,-0.10655,16,True,NULL,NULL"
"149,""LRW3F7FS4NC505233"",""2022-06-21 16:45:06"",85,229.19,""2022-06-21 16:48:15"",85,231.08,51.902785,-0.443259,32,True,NULL,NULL"
"150,""LRW3F7FS8NC502951"",""2022-06-21 16:56:58"",40,108,""2022-06-21 18:38:12"",47,127.29,51.526207,-0.452218,10,True,NULL,NULL"
"151,""LRW3F7FS2NC506817"",""2022-06-21 17:14:07"",80,216.89,""2022-06-21 19:01:19"",100,270.76,51.579877,-0.199377,32,True,NULL,NULL"
"152,""LRW3F7FS8NC505347"",""2022-06-21 17:25:39"",17,47.18,""2022-06-21 17:46:24"",74,198.55,51.453468,0.246543,16,True,NULL,NULL"
"153,""LRW3F7FS6NC506187"",""2022-06-21 17:36:23"",53,142.7,""2022-06-21 23:23:16"",100,270.76,51.551509,-0.24665,22,True,NULL,NULL"
"154,""LRW3F7FA0MC335359"",""2022-06-21 17:56:08"",95,230.84,""2022-06-21 17:56:08"",95,230.84,51.363427,-0.130416,30,True,NULL,NULL"
"155,""LRW3F7FSXNC505477"",""2022-06-21 17:56:23"",29,77.37,""2022-06-21 18:34:05"",97,262.87,51.28632,0.545654,16,True,NULL,NULL"
"156,""LRW3F7FA9MC335392"",""2022-06-21 17:59:52"",58,148.23,""2022-06-21 18:12:14"",78,199.85,51.489473,0.286515,16,True,NULL,NULL"
"157,""LRW3F7FS5NC505810"",""2022-06-21 18:26:22"",18,49.23,""2022-06-21 19:09:47"",100,270.76,53.314219,-1.281868,16,True,NULL,NULL"
"158,""LRW3F7FA3MC335310"",""2022-06-21 18:33:56"",65,149.4,""2022-06-21 19:02:47"",74,169.64,51.359733,0.535107,32,True,NULL,NULL"
"159,""LRW3F7FA3MC335310"",""2022-06-21 18:33:56"",65,149.4,""2022-06-21 19:02:47"",74,169.64,51.359733,0.535107,32,True,NULL,NULL"
"160,""LRW3F7FA3MC335310"",""2022-06-21 18:33:56"",65,149.4,""2022-06-21 19:02:47"",74,169.64,51.359733,0.535107,32,True,NULL,NULL"
"161,""LRW3F7FA3MC335310"",""2022-06-21 18:33:56"",65,149.4,""2022-06-21 19:02:47"",74,169.64,51.359733,0.535107,32,True,NULL,NULL"
"162,""LRW3F7FSXNC505348"",""2022-06-21 18:34:08"",54,146.01,""2022-06-21 22:33:37"",100,270.76,51.46373,-0.185181,32,True,NULL,NULL"
